Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
119101A,Barratta Creek at Northcote,26/4/2012 11:35,,<0.01,0.16,,0.13,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,28/4/2012 12:05,,<0.01,0.21,,0.12,,,,<0.01,,0.043,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,29/4/2012 8:30,,<0.01,0.18,,0.074,,,,<0.01,,0.02,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,30/4/2012 10:55,,<0.01,0.11,,0.058,,,,<0.01,,0.017,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,1/5/2012 11:45,,<0.01,0.079,,0.035,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,22/5/2012 9:55,,<0.01,0.22,,0.038,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,22/5/2012 10:45,,<0.01,0.19,,0.037,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,28/6/2012 11:50,,0.026,0.45,,0.03,,,,<0.01,,<0.01,,,0.054,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,10/7/2012 9:20,7.31,1.9,11,,0.1,,<0.03,<0.01,<0.01,,<0.01,<0.01,0.02,4.4,,,,0.013,0.021,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,10/7/2012 14:45,3.41,1.9,14,,0.021,,<0.03,<0.01,<0.01,,<0.01,<0.01,0.25,2,,,,0.016,0.027,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,11/7/2012 9:20,0.08,0.041,0.36,,0.042,,<0.03,<0.01,<0.01,,0.056,<0.01,0.16,0.048,,,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,11/7/2012 14:40,0.05,0.022,0.25,,0.033,,<0.03,<0.01,<0.01,,0.041,<0.01,0.14,0.016,,,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,12/7/2012 10:30,0.03,<0.01,0.13,,0.023,,<0.03,<0.01,<0.01,,0.029,<0.01,0.07,<0.01,,,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,12/7/2012 14:55,0.03,0.012,0.14,,0.022,,<0.03,<0.01,<0.01,,0.028,<0.01,0.07,0.027,,,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,13/7/2012 9:55,0.02,0.017,0.15,,0.018,,<0.03,<0.01,<0.01,,0.023,<0.01,0.03,0.03,,,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,4/10/2012 10:35,1.65,0.2,9.48,,1.21,,0.06,<0.004,0.003,,0.035,<0.004,0.01,1.22,,0.01,,0.002,0.022,0.003,<0.001,<0.004
119101A,Barratta Creek at Northcote,2/11/2012 11:45,0.36,0.57,9.23,,1.8,,<0.03,<0.01,<0.01,,0.03,<0.01,0.03,2.6,,<0.01,,<0.01,0.02,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,21/11/2012 12:34,0.86,0.03,4.7,,0.83,,<0.03,<0.01,0.03,,0.02,0.27,0.03,0.04,,<0.01,,<0.01,0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,20/12/2012 12:00,0.05,0.47,3.41,,1.39,,<0.03,<0.01,<0.01,,<0.01,0.47,<0.01,0.17,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,18/1/2013 11:00,0.58,0.03,11.3,,1.59,,,<0.01,<0.01,,<0.01,0.48,0.21,0.11,,<0.01,,<0.01,0.04,<0.01,<0.01,0.03
119101A,Barratta Creek at Northcote,24/1/2013 15:30,0.09,0.05,7.84,,1.46,,<0.03,0.02,0.02,,0.03,0.31,0.04,0.01,,<0.01,,<0.01,0.03,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,25/1/2013 7:45,0.1,0.04,5.89,,1.09,,<0.03,0.02,0.01,,0.04,0.35,0.04,0.01,,<0.01,,<0.01,0.02,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,25/1/2013 16:00,0.28,0.05,3.52,,0.79,,<0.03,0.02,0.01,,0.03,0.24,0.1,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,27/1/2013 8:20,0.17,0.07,2.24,,0.2,,<0.03,<0.01,<0.01,,0.01,0.13,0.03,0.04,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,29/1/2013 10:45,0.11,0.03,0.41,,0.14,,<0.03,<0.01,<0.01,,0.02,0.03,0.01,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,31/1/2013 11:00,0.05,0.02,0.19,,0.09,,<0.03,<0.01,<0.01,,<0.01,0.02,<0.01,0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,9/2/2013 14:30,0.02,0.08,0.37,,0.45,,,<0.01,<0.01,,<0.01,0.05,<0.01,0.05,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.03
119101A,Barratta Creek at Northcote,15/2/2013 15:50,<0.01,0.03,0.63,,0.2,,,<0.01,<0.01,,<0.01,0.04,0.03,0.09,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,19/2/2013 17:00,0.2,0.01,0.33,,0.19,,,0.01,<0.01,,0.02,0.07,0.06,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,21/2/2013 9:30,0.11,0.02,0.23,,0.11,,,0.05,<0.01,,0.01,0.03,0.02,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,22/2/2013 8:05,0.05,0.02,0.18,,0.1,,,0.05,<0.01,,0.01,0.03,0.01,0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,26/2/2013 9:00,0.06,0.02,0.17,,0.17,,,0.06,0.04,,0.04,0.02,0.02,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,8/3/2013 7:30,0.06,<0.01,0.02,,0.03,,,<0.01,0.01,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,15/3/2013 9:10,0.05,0.01,0.2,<0.1,0.06,<0.1,,<0.004,<0.1,,0.004,0.004,0.01,0.002,<0.1,0.002,<0.1,<0.1,<0.1,<0.1,<0.001,<0.004
119101A,Barratta Creek at Northcote,19/4/2013 14:45,0.01,<0.1,0.13,<0.1,0.04,<0.1,,<0.004,<0.1,,0.004,0.01,0.01,<0.1,<0.1,0.003,<0.1,<0.001,<0.1,0.003,<0.1,<0.004
119101A,Barratta Creek at Northcote,21/5/2013 16:25,<0.01,0.06,0.62,,0.9,,,0.13,<0.01,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,18/6/2013 17:25,<0.01,0.02,1.22,,0.02,,,<0.01,<0.01,,0.05,<0.01,0.03,0.03,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,16/10/2013 15:50,<0.01,0.07,4.2,,2.6,,<0.03,<0.01,<0.01,,<0.01,0.02,<0.01,0.22,0.11,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,22/10/2013 10:00,<0.01,0.09,6,,2.9,,<0.03,<0.01,<0.01,,0.04,0.18,<0.01,0.28,0.65,<0.01,,<0.01,0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,27/10/2013 16:55,<0.01,0.04,2.9,,2.6,,<0.03,<0.01,<0.01,,<0.01,0.11,<0.01,0.28,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,6/11/2013 9:40,0.26,0.07,5.2,,14,,0.1,<0.01,0.02,,<0.01,1.9,<0.01,0.17,0.14,<0.01,,<0.01,<0.01,<0.01,<0.01,0.03
119101A,Barratta Creek at Northcote,12/11/2013 10:00,0.11,0.05,1.6,,2,,<0.03,<0.01,0.21,,<0.01,0.1,0.37,0.32,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,18/11/2013 15:30,0.49,0.02,2.7,,1.5,,<0.03,<0.01,<0.01,,<0.01,0.35,0.03,0.06,0.29,0.03,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,24/11/2013 14:20,0.24,0.03,2.9,,3.1,,0.03,<0.01,0.06,,0.03,0.09,0.03,0.12,0.53,0.09,,<0.01,<0.01,<0.01,<0.01,<0.01
119101A,Barratta Creek at Northcote,3/12/2013 10:00,<0.01,0.04,16,,5.3,,,<0.01,<0.01,,0.02,0.09,<0.01,0.05,0.74,<0.01,,<0.01,0.02,<0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,11/12/2013 15:00,0.03,0.05,2.4,,3.2,,,<0.01,0.01,,<0.01,0.06,<0.01,0.23,1.4,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,19/12/2013 11:10,0.05,0.03,2.8,,1.6,,,<0.01,<0.01,,<0.01,0.07,<0.01,0.08,0.79,<0.01,,<0.01,<0.01,0.01,<0.01,0.02
119101A,Barratta Creek at Northcote,24/12/2013 10:00,0.09,0.02,1.3,,1.5,,,<0.01,0.05,,<0.01,0.04,0.09,0.1,0.14,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,30/12/2013 10:00,0.3,0.02,1.7,,1.5,,,<0.01,0.01,,<0.01,0.94,0.11,0.21,0.17,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,6/1/2014 10:00,0.12,0.02,1.3,,0.87,,,<0.01,0.02,,<0.01,0.27,0.02,0.06,0.11,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,16/1/2014 10:00,0.05,0.02,0.82,,0.63,,,<0.01,0.02,,<0.01,0.03,0.01,0.02,0.04,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,20/1/2014 17:15,0.13,0.02,0.95,,0.49,,,<0.01,<0.01,,<0.01,0.04,<0.01,0.04,0.04,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,27/1/2014 9:15,0.08,<0.01,0.35,,0.27,,,<0.01,<0.01,,<0.01,0.02,<0.01,0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,31/1/2014 8:55,0.74,0.01,2.5,,1.9,,,<0.01,0.07,,<0.01,0.45,0.16,0.12,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,31/1/2014 10:00,1.1,<0.01,2.2,,1.4,,,<0.01,0.01,,<0.01,0.43,0.16,0.04,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
119101A,Barratta Creek at Northcote,1/2/2014 10:00,<0.01,<0.01,0.01,,<0.01,,,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.03,<0.01,<0.02
119101A,Barratta Creek at Northcote,10/2/2014 13:40,0.022,0.007,0.24,,0.24,,0.05,<0.004,0.002,,0.005,0.019,0.016,0.011,,0.003,,<0.001,<0.001,0.003,<0.001,<0.004
