Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,13/11/2020 13:55,<0.05,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.02,0.09,0.01,<0.02,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.2
122013A,Proserpine River at Glen Isla,1/12/2020 15:00,0.18,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.02,0.06,0.01,<0.02,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,15/12/2020 15:40,<0.05,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.05,0.01,<0.01,<0.02,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,25/12/2020 18:29,<0.02,<0.01,0.02,<0.02,0.03,<0.02,<0.05,<0.02,0.09,0.02,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,25/12/2020 23:59,<0.02,<0.01,0.04,<0.02,0.04,<0.02,<0.05,<0.02,0.16,0.04,<0.02,<0.02,0.05,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,26/12/2020 6:49,<0.02,<0.01,0.04,<0.02,0.05,<0.02,<0.05,<0.02,0.14,0.03,<0.02,<0.02,0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,27/12/2020 0:09,0.46,<0.01,1.1,<0.02,0.73,<0.02,0.11,<0.02,1.1,0.35,0.15,0.03,0.27,0.19,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,27/12/2020 7:19,0.99,<0.01,2.2,<0.02,2,<0.02,0.24,<0.02,3.7,0.95,0.56,0.18,1.9,0.27,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,6/1/2021 14:09,0.17,<0.01,0.32,<0.02,0.45,<0.02,0.23,<0.02,1.4,0.73,1.5,0.04,0.13,0.37,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,6/1/2021 20:45,0.14,<0.01,1.1,<0.02,0.68,<0.02,0.28,<0.02,1.2,0.72,1.5,0.04,0.07,0.35,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
